代码,名称,全称,上一级代码
65909999,不详乡镇,新疆自治区直辖县级行政单位不详县不详乡镇,65909900
65990000,不详市,新疆不详市,65000000
65999900,不详县,新疆不详市不详县,65990000
65999999,不详乡镇,新疆不详市不详县不详乡镇,65999900
66000000,建设兵团,建设兵团,0
66010000,直属单位,建设兵团直属单位,66000000
66010100,兵团机关,建设兵团直属单位兵团机关,66010000
66010101,兵团事业单位,建设兵团直属单位兵团机关兵团事业单位,66010100
66010102,兵团企业单位,建设兵团直属单位兵团机关兵团企业单位,66010100
66010199,不详乡镇,建设兵团直属单位兵团机关不详乡镇,66010100
66010200,222团,建设兵团直属单位222团,66010000
66010201,机关,建设兵团直属单位222团机关,66010200
66010202,学校,建设兵团直属单位222团学校,66010200
66010203,医院,建设兵团直属单位222团医院,66010200
66010204,1连,建设兵团直属单位222团1连,66010200
66010205,2连,建设兵团直属单位222团2连,66010200
66010206,3连,建设兵团直属单位222团3连,66010200
66010207,4连,建设兵团直属单位222团4连,66010200
66010208,5连,建设兵团直属单位222团5连,66010200
66010209,6连,建设兵团直属单位222团6连,66010200
66010210,7连,建设兵团直属单位222团7连,66010200
66010211,8连,建设兵团直属单位222团8连,66010200
66010212,9连,建设兵团直属单位222团9连,66010200
66010213,10连,建设兵团直属单位222团10连,66010200
66010214,公司,建设兵团直属单位222团公司,66010200
66010215,社区,建设兵团直属单位222团社区,66010200
66010216,幼儿园,建设兵团直属单位222团幼儿园,66010200
66010299,不详乡镇,建设兵团直属单位222团不详乡镇,66010200
66019900,不详县,建设兵团直属单位不详县,66010000
66019999,不详乡镇,建设兵团直属单位不详县不详乡镇,66019900
66110000,农一师,建设兵团农一师,66000000
66110100,直属单位,建设兵团农一师直属单位,66110000
66110101,机关,建设兵团农一师直属单位机关,66110100
66110102,学校,建设兵团农一师直属单位学校,66110100
66110103,事业单位,建设兵团农一师直属单位事业单位,66110100
66110104,企业单位,建设兵团农一师直属单位企业单位,66110100
66110105,社区,建设兵团农一师直属单位社区,66110100
66110106,建化厂,建设兵团农一师直属单位建化厂,66110100
66110199,不详乡镇,建设兵团农一师直属单位不详乡镇,66110100
66111100,1团,建设兵团农一师1团,66110000
66111101,直属单位,建设兵团农一师1团直属单位,66111100
66111102,1连,建设兵团农一师1团1连,66111100
66111103,2连,建设兵团农一师1团2连,66111100
66111104,3连,建设兵团农一师1团3连,66111100
66111105,4连,建设兵团农一师1团4连,66111100
66111106,5连,建设兵团农一师1团5连,66111100
66111107,6连,建设兵团农一师1团6连,66111100
66111108,7连,建设兵团农一师1团7连,66111100
66111109,8连,建设兵团农一师1团8连,66111100
66111110,9连,建设兵团农一师1团9连,66111100
66111111,10连,建设兵团农一师1团10连,66111100
66111112,11连,建设兵团农一师1团11连,66111100
66111113,12连,建设兵团农一师1团12连,66111100
66111114,13连,建设兵团农一师1团13连,66111100
66111115,14连,建设兵团农一师1团14连,66111100
66111116,15连,建设兵团农一师1团15连,66111100
66111117,16连,建设兵团农一师1团16连,66111100
66111118,17连,建设兵团农一师1团17连,66111100
66111119,18连,建设兵团农一师1团18连,66111100
66111120,19连,建设兵团农一师1团19连,66111100
66111121,22连,建设兵团农一师1团22连,66111100
66111122,23连,建设兵团农一师1团23连,66111100
66111123,学校,建设兵团农一师1团学校,66111100
66111128,园林二队,建设兵团农一师1团园林二队,66111100
66111130,民族农场门诊,建设兵团农一师1团民族农场门诊,66111100
66111131,医院,建设兵团农一师1团医院,66111100
66111199,不详乡镇,建设兵团农一师1团不详乡镇,66111100
66111200,2团,建设兵团农一师2团,66110000
66111201,直属单位,建设兵团农一师2团直属单位,66111200
66111202,1连,建设兵团农一师2团1连,66111200
66111203,3连,建设兵团农一师2团3连,66111200
66111204,4连,建设兵团农一师2团4连,66111200
66111205,5连,建设兵团农一师2团5连,66111200
66111206,6连,建设兵团农一师2团6连,66111200
66111207,7连,建设兵团农一师2团7连,66111200
66111208,8连,建设兵团农一师2团8连,66111200
66111209,10连,建设兵团农一师2团10连,66111200
66111210,11连,建设兵团农一师2团11连,66111200
66111211,12连,建设兵团农一师2团12连,66111200
66111212,13连,建设兵团农一师2团13连,66111200
66111213,15连,建设兵团农一师2团15连,66111200
66111214,16连,建设兵团农一师2团16连,66111200
66111215,17连,建设兵团农一师2团17连,66111200
66111216,18连,建设兵团农一师2团18连,66111200
66111217,19连,建设兵团农一师2团19连,66111200
66111218,20连,建设兵团农一师2团20连,66111200
66111219,21连,建设兵团农一师2团21连,66111200
66111220,22连,建设兵团农一师2团22连,66111200
66111221,23连,建设兵团农一师2团23连,66111200
66111222,24连,建设兵团农一师2团24连,66111200
66111223,园林站,建设兵团农一师2团园林站,66111200
66111224,养殖场,建设兵团农一师2团养殖场,66111200
66111225,加工厂,建设兵团农一师2团加工厂,66111200
66111226,建安公司,建设兵团农一师2团建安公司,66111200
66111227,机关,建设兵团农一师2团机关,66111200
66111228,第一中学,建设兵团农一师2团第一中学,66111200
66111229,第二小学,建设兵团农一师2团第二小学,66111200
66111299,不详乡镇,建设兵团农一师2团不详乡镇,66111200
66111300,3团,建设兵团农一师3团,66110000
66111301,直属单位,建设兵团农一师3团直属单位,66111300
66111302,1连,建设兵团农一师3团1连,66111300
66111303,2连,建设兵团农一师3团2连,66111300
66111304,3连,建设兵团农一师3团3连,66111300
66111305,4连,建设兵团农一师3团4连,66111300
66111306,5连,建设兵团农一师3团5连,66111300
66111307,6连,建设兵团农一师3团6连,66111300
66111308,7连,建设兵团农一师3团7连,66111300
66111309,8连,建设兵团农一师3团8连,66111300
66111310,9连,建设兵团农一师3团9连,66111300
66111311,10连,建设兵团农一师3团10连,66111300
66111312,11连,建设兵团农一师3团11连,66111300
66111313,12连,建设兵团农一师3团12连,66111300
66111314,13连,建设兵团农一师3团13连,66111300
66111315,14连,建设兵团农一师3团14连,66111300
66111316,15连,建设兵团农一师3团15连,66111300
66111317,16连,建设兵团农一师3团16连,66111300
66111318,17连,建设兵团农一师3团17连,66111300
66111319,18连,建设兵团农一师3团18连,66111300
66111320,19连,建设兵团农一师3团19连,66111300
66111321,20连,建设兵团农一师3团20连,66111300
66111322,21连,建设兵团农一师3团21连,66111300
66111323,22连,建设兵团农一师3团22连,66111300
66111324,24连,建设兵团农一师3团24连,66111300
66111325,中学,建设兵团农一师3团中学,66111300
66111326,科技连,建设兵团农一师3团科技连,66111300
66111327,加工厂,建设兵团农一师3团加工厂,66111300
66111328,工程连,建设兵团农一师3团工程连,66111300
66111329,修造厂,建设兵团农一师3团修造厂,66111300
66111330,团部,建设兵团农一师3团团部,66111300
66111331,良繁站,建设兵团农一师3团良繁站,66111300
66111332,幼儿园,建设兵团农一师3团幼儿园,66111300
66111333,园林队,建设兵团农一师3团园林队,66111300
66111334,园林小学,建设兵团农一师3团园林小学,66111300
66111399,不详乡镇,建设兵团农一师3团不详乡镇,66111300
66111400,4团,建设兵团农一师4团,66110000
66111401,直属单位,建设兵团农一师4团直属单位,66111400
66111402,一连,建设兵团农一师4团一连,66111400
66111403,五连,建设兵团农一师4团五连,66111400
66111404,六连,建设兵团农一师4团六连,66111400
66111405,七连,建设兵团农一师4团七连,66111400
66111406,八连,建设兵团农一师4团八连,66111400
66111407,九连,建设兵团农一师4团九连,66111400
66111408,十一连,建设兵团农一师4团十一连,66111400
66111409,十二连,建设兵团农一师4团十二连,66111400
66111410,十三连,建设兵团农一师4团十三连,66111400
66111411,十四连,建设兵团农一师4团十四连,66111400
66111412,十八连,建设兵团农一师4团十八连,66111400
66111415,学校,建设兵团农一师4团学校,66111400
66111417,社区,建设兵团农一师4团社区,66111400
66111418,15连,建设兵团农一师4团15连,66111400
66111419,畜牧连,建设兵团农一师4团畜牧连,66111400
66111499,不详乡镇,建设兵团农一师4团不详乡镇,66111400
66111500,5团,建设兵团农一师5团,66110000
66111501,1连,建设兵团农一师5团1连,66111500
66111502,2连,建设兵团农一师5团2连,66111500
66111503,3连,建设兵团农一师5团3连,66111500
66111504,4连,建设兵团农一师5团4连,66111500
66111505,5连,建设兵团农一师5团5连,66111500
66111506,6连,建设兵团农一师5团6连,66111500
66111507,幸福二区,建设兵团农一师5团幸福二区,66111500
66111508,幸福一区,建设兵团农一师5团幸福一区,66111500
66111509,园林工作站,建设兵团农一师5团园林工作站,66111500
66111510,12连,建设兵团农一师5团12连,66111500
66111511,13连,建设兵团农一师5团13连,66111500
66111512,14连,建设兵团农一师5团14连,66111500
66111513,15连,建设兵团农一师5团15连,66111500
66111514,16连,建设兵团农一师5团16连,66111500
66111515,17连,建设兵团农一师5团17连,66111500
66111516,18连,建设兵团农一师5团18连,66111500
66111518,学校,建设兵团农一师5团学校,66111500
66111519,中幼,建设兵团农一师5团中幼,66111500
66111520,牧联体,建设兵团农一师5团牧联体,66111500
66111523,直属单位,建设兵团农一师5团直属单位,66111500
66111526,民族分场,建设兵团农一师5团民族分场,66111500
66111527,监狱,建设兵团农一师5团监狱,66111500
66111528,养殖场,建设兵团农一师5团养殖场,66111500
66111599,不详乡镇,建设兵团农一师5团不详乡镇,66111500
66111600,6团,建设兵团农一师6团,66110000
66111601,一连,建设兵团农一师6团一连,66111600
66111602,二连,建设兵团农一师6团二连,66111600
66111603,三连,建设兵团农一师6团三连,66111600
66111604,五连,建设兵团农一师6团五连,66111600
66111605,六连,建设兵团农一师6团六连,66111600
66111606,七连,建设兵团农一师6团七连,66111600
66111607,八连,建设兵团农一师6团八连,66111600
66111608,九连,建设兵团农一师6团九连,66111600
66111609,十连,建设兵团农一师6团十连,66111600
66111610,医院,建设兵团农一师6团医院,66111600
66111611,建安社区,建设兵团农一师6团建安社区,66111600
66111612,中学,建设兵团农一师6团中学,66111600
66111613,直属单位,建设兵团农一师6团直属单位,66111600
66111614,四连,建设兵团农一师6团四连,66111600
